Datetime,volume,price
2015-08-31,152930380,74.5
2015-09-01,132717170,73.14
2015-09-02,139406370,72.9
2015-09-03,106955860,74.15
2015-09-04,80709310,73.96
2015-09-07,49845340,73.81
2015-09-08,98662390,74.9
2015-09-09,85993260,74.65
2015-09-10,93353580,74.3
2015-09-11,57012070,74.1
2015-09-14,76431280,74.88
2015-09-15,63782210,74.85
2015-09-16,124565490,77.71
2015-09-17,93647050,76.49
2015-09-18,103518130,75.5
2015-09-21,78643830,75.94
2015-09-22,102296950,74.39
2015-09-23,93374560,73.74
2015-09-24,101789760,73.33
2015-09-25,86018340,74.97
2015-09-28,69169380,74.57
2015-09-29,83624660,75.5
2015-09-30,86525120,75.3
2015-10-01,109384990,74.51
2015-10-02,98443470,73.8
2015-10-05,100484850,76.2
2015-10-06,102125210,77.31
2015-10-07,181436920,79.65
2015-10-08,234046020,83.11
2015-10-09,205573820,85.77
2015-10-12,146007620,85.45
2015-10-13,99736900,85.0
2015-10-14,114246530,86.81
2015-10-15,139294580,87.7
2015-10-16,143386100,88.52
2015-10-19,118152120,87.07
2015-10-20,109382370,88.14
2015-10-21,99081310,86.95
2015-10-22,90618250,86.53
2015-10-23,137358890,90.45
2015-10-26,154684320,92.3
2015-10-27,137755700,89.0
2015-10-28,128577920,90.05
2015-10-29,114433270,88.6
2015-10-30,85414040,90.53
2015-11-02,125019670,93.65
2015-11-03,122438730,95.4
2015-11-05,127769250,95.5
2015-11-06,106579170,94.09
2015-11-09,79039400,92.95
2015-11-10,71523380,94.35
2015-11-11,77489920,94.0
2015-11-12,79197840,94.29
2015-11-13,79071320,93.4
2015-11-16,88111460,95.8
2015-11-17,181101510,102.5
2015-11-18,136661570,104.0
2015-11-19,191081370,104.86
2015-11-20,113710820,107.3
2015-11-23,173233750,109.98
2015-11-24,154170880,105.6
2015-11-25,119491800,108.51
2015-11-26,80653490,106.48
2015-11-27,93334840,104.55
2015-11-30,87247790,102.9
2015-12-01,98894750,101.3
2015-12-02,89735480,102.5
2015-12-03,96438740,104.0
2015-12-04,107660660,103.05
2015-12-07,91341440,103.0
2015-12-08,159235470,97.0
2015-12-09,119148390,100.66
2015-12-10,88967510,100.13
2015-12-11,90949100,98.15
2015-12-14,101851290,97.7
2015-12-15,87563530,100.0
2015-12-16,70548170,102.45
2015-12-17,120210540,103.75
2015-12-18,108929250,98.81
2015-12-21,81398290,98.73
2015-12-22,48799790,99.8
2015-12-23,72286800,102.96
2015-12-24,72255900,101.35
2015-12-25,26197790,101.34
2015-12-28,36924620,100.2
2015-12-29,72703690,101.82
2015-12-30,38868080,101.26
2016-01-04,51264550,98.01
2016-01-05,49071570,98.89
2016-01-06,40710930,96.85
2016-01-11,86120290,91.03
2016-01-12,110109050,91.71
2016-01-13,74169700,91.5
2016-01-14,81179220,93.04
2016-01-15,133791200,87.27
2016-01-18,100574240,86.15
2016-01-19,114039260,86.68
2016-01-20,134624680,83.83
2016-01-21,143863130,86.0
2016-01-22,207689990,91.5
2016-01-25,131784760,91.0
2016-01-26,105375580,91.5
2016-01-27,150816500,95.75
2016-01-28,179555940,96.69
2016-01-29,165404880,96.5
2016-02-01,89621070,96.5
2016-02-02,128999060,94.4
2016-02-03,112704620,94.53
2016-02-04,122053010,97.57
2016-02-05,81434160,97.2
2016-02-08,106207300,94.7
2016-02-09,121341460,93.89
2016-02-10,111478160,96.35
2016-02-11,115370090,94.2
2016-02-12,79435870,94.85
2016-02-15,68610990,95.25
2016-02-16,114942500,96.51
2016-02-17,114840150,99.2
2016-02-18,125646250,102.7
2016-02-19,171600390,101.5
2016-02-20,18170020,102.39
2016-02-22,66187510,103.2
2016-02-24,89140580,102.1
2016-02-25,110333690,104.05
2016-02-26,144091540,106.24
2016-02-29,91798290,107.0
2016-03-01,114856490,108.26
2016-03-02,97924080,106.12
2016-03-03,80188360,106.99
2016-03-04,84288020,108.99
2016-03-07,75021080,109.47
2016-03-09,72419980,108.15
2016-03-10,94994800,108.84
2016-03-11,61331210,109.26
2016-03-14,66481000,109.26
2016-03-15,127043830,106.46
2016-03-16,75835060,107.0
2016-03-17,92997390,109.47
2016-03-18,134630750,112.4
2016-03-21,115565250,112.07
2016-03-22,107526080,111.49
2016-03-23,104185740,109.1
2016-03-24,93439810,108.06
2016-03-25,32979670,109.1
2016-03-28,50130410,108.12
2016-03-29,86835580,107.05
2016-03-30,84472720,109.15
2016-03-31,106590120,109.9
2016-04-01,101276220,108.52
2016-04-04,80458170,108.2
2016-04-05,75655980,106.87
2016-04-06,75577530,108.0
2016-04-07,80295520,108.51
2016-04-08,124450440,112.92
2016-04-11,150709430,117.35
2016-04-12,121033520,117.95
2016-04-13,103450650,119.5
2016-04-14,87986340,119.3
2016-04-15,70464930,119.3
2016-04-18,91828010,118.2
2016-04-19,137828350,121.5
2016-04-20,104454360,123.75
2016-04-21,181989880,119.17
2016-04-22,103033620,121.25
2016-04-25,67353690,120.08
2016-04-26,87582980,119.7
2016-04-27,90776270,120.8
2016-04-28,86145270,124.39
2016-04-29,102845000,123.55
2016-05-04,84919830,120.96
2016-05-05,56067230,120.92
2016-05-06,70324510,120.64
