Datetime,volume,price
2016-04-07,4634900,78.0
2016-04-08,6268100,79.0
2016-04-11,6317000,82.2
2016-04-12,11659200,79.32
2016-04-13,3917300,78.55
2016-04-14,3640200,78.63
2016-04-15,2911800,78.0
2016-04-18,3376400,76.68
2016-04-19,4745700,77.62
2016-04-20,6024300,77.26
2016-04-21,4827800,74.8
2016-04-22,6805900,78.21
2016-04-25,3317200,76.28
2016-04-26,5634300,75.16
2016-04-27,4171600,75.0
2016-04-28,2438500,76.04
2016-04-29,3884000,77.48
2016-05-04,4447900,76.89
2016-05-05,2784400,78.4
2016-05-06,2882200,78.5
